542,544,542,544,542,544,542,544,542,544,542,544,542,544,542,544
544,542,544,542,544,542,544,542,544,542,544,542,544,542,544,482
542,544,542,544,542,544,542,544,542,544,542,544,151,544,542,544
1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
-1,312,-1,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,751,752,752,752,753,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,808,809,809,809,810,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,808,809,809,809,810,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,865,866,866,866,867,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
