950,951,951,951,951,951,951,951,951,951,951,951,951,951,951,952
893,894,894,894,894,894,894,894,894,894,894,894,894,894,894,895
893,894,894,894,894,894,894,894,894,894,894,894,894,894,894,895
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
