929,930,930,930,930,930,930,930,930,930,930,930,931
872,873,873,873,873,873,873,873,873,873,873,873,874
872,873,873,873,873,873,873,873,873,873,873,873,874
872,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,874
872,1322,-1,1322,-1,-1,-1,-1,-1,-1,-1,-1,874
872,1322,-1,1322,1322,-1,1322,-1,-1,-1,-1,-1,490
872,1322,1322,1322,1322,-1,1322,1322,1322,1322,1322,1322,874
872,1322,1322,1322,1322,1322,-1,-1,-1,1322,-1,1322,874
872,1322,1322,1322,-1,-1,-1,-1,-1,1322,1322,1322,874
1328,1329,1329,1329,1329,1329,150,1329,1329,1329,1329,1329,1330
