-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1093,1094,1094,1094,1094,1094,1094,1094,1094,256,1094,1094,1095
1150,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1152
1150,249,361,362,250,1151,1151,1151,751,844,847,753,1152
1150,1151,1151,1151,1151,1151,1151,1151,808,840,726,810,1152
1150,254,255,255,369,1151,1151,1151,808,251,251,810,1152
1150,254,255,255,369,1151,1151,1151,808,246,246,810,1152
1150,254,255,369,1151,1151,1151,1151,865,866,866,867,1152
1207,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1209
