1099,930,930,930,930,1100,930,930,1100,930,930,930,1101
872,1102,873,121,873,1102,873,121,873,873,1102,121,874
872,1157,873,873,873,873,873,873,873,873,873,873,874
872,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,874
872,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,874
872,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,874
872,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,874
872,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,874
872,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,874
869,868,868,868,868,868,150,868,868,868,868,868,871
