-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1264,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1266
1321,-1,303,303,303,303,303,303,303,303,303,-1,1323
1321,360,197,198,198,198,198,198,198,198,312,360,1323
1321,-1,246,246,246,246,246,246,246,246,246,-1,1323
1321,-1,-1,-1,-1,-1,-1,-1,185,-1,186,186,1323
1321,128,129,71,72,129,-1,-1,186,-1,186,185,1323
1321,129,129,72,72,129,-1,-1,186,-1,186,186,1323
1378,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1380
