548,197,198,198,198,312,548,-1,548,-1,548,-1,548,-1,548,-1,548,-1,548,-1,548,-1,548,-1,548
-1,297,240,239,238,354,482,88,143,548,272,548,-1,548,-1,548,272,548,-1,548,-1,548,272,548,-1
1093,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1095
1150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,192,69,193,-1,192,69,193,-1,-1,254,255,255,369,1152
1150,-1,-1,-1,-1,-1,-1,-1,132,-1,-1,-1,191,-1,-1,-1,191,-1,-1,-1,360,360,360,360,1152
1150,360,-1,360,-1,360,-1,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1152
1150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,360,360,360,360,1152
1150,-1,-1,-1,-1,-1,-1,-1,-1,-1,303,-1,-1,303,-1,-1,303,-1,-1,-1,254,255,255,369,1152
1150,192,364,193,-1,192,364,193,-1,360,253,360,360,253,360,360,253,360,-1,-1,360,360,360,360,1152
1207,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1209
